//Name,ID,DataType,Length,Unit,Remark,SeqNo
EquipmentStatus,1998,UINT_1,1000,N/A,Identifier for the equipment status,1
RecipeID,1999,ASCII,1000,N/A,Identifier for the recipe id,2
CarrierID,2000,ASCII,1000,N/A,Identifier for the carrier,3
PortID,2001,UINT_1,1000,N/A,Identifier for the load port,4
AccessMode,2002,UINT_1,1000,N/A,The access mode of the load port,5
SlotMapStatus,2003,UINT_1,1000,N/A,Slotmap status of the carrier,6
PortTransferState,2005,UINT_1,1000,N/A,The current transfer state of the load port,7
Loadport1_AccessMode,2006,UINT_1,1000,N/A,The access mode of the load port 1,8
Loadport2_AccessMode,2007,UINT_1,1000,N/A,The access mode of the load port 2,9
Loadport1_PortTransferState,2008,UINT_1,1000,N/A,The current transfer state of the load port 1,10
Loadport2_PortTransferState,2009,UINT_1,1000,N/A,The current transfer state of the load port 2,11
SlotMap_List,2010,LIST,1000,N/A,The slotmap of a carrier,12
Reason,2013,UINT_1,1000,N/A,Reason for asking the host to proceed with a carrier (slotmap verification),13
Loadport1_Recipe,2014,ASCII,1000,N/A,The recipe of the load port 1,14
Loadport2_Recipe,2015,ASCII,1000,N/A,The recipe of the load port 2,15
SlotMap_1,3001,UINT_1,1000,N/A,SlotMap_1,16
SlotMap_2,3002,UINT_1,1000,N/A,SlotMap_2,17
SlotMap_3,3003,UINT_1,1000,N/A,SlotMap_3,18
SlotMap_4,3004,UINT_1,1000,N/A,SlotMap_4,19
SlotMap_5,3005,UINT_1,1000,N/A,SlotMap_5,20
SlotMap_6,3006,UINT_1,1000,N/A,SlotMap_6,21
SlotMap_7,3007,UINT_1,1000,N/A,SlotMap_7,22
SlotMap_8,3008,UINT_1,1000,N/A,SlotMap_8,23
SlotMap_9,3009,UINT_1,1000,N/A,SlotMap_9,24
SlotMap_10,3010,UINT_1,1000,N/A,SlotMap_10,25
SlotMap_11,3011,UINT_1,1000,N/A,SlotMap_11,26
SlotMap_12,3012,UINT_1,1000,N/A,SlotMap_12,27
SlotMap_13,3013,UINT_1,1000,N/A,SlotMap_13,28
SlotMap_14,3014,UINT_1,1000,N/A,SlotMap_14,29
SlotMap_15,3015,UINT_1,1000,N/A,SlotMap_15,30
SlotMap_16,3016,UINT_1,1000,N/A,SlotMap_16,31
SlotMap_17,3017,UINT_1,1000,N/A,SlotMap_17,32
SlotMap_18,3018,UINT_1,1000,N/A,SlotMap_18,33
SlotMap_19,3019,UINT_1,1000,N/A,SlotMap_19,34
SlotMap_20,3020,UINT_1,1000,N/A,SlotMap_20,35
SlotMap_21,3021,UINT_1,1000,N/A,SlotMap_21,36
