//CEID,Name,Remark,SystemID
1,Equipment_Off_Line,ON-LINE->OFF-LINE,1
2,Control_State_Local,REMOTE->LOCAL or OFF-LINE->LOCAL,2
3,Control_State_Remote,LOCAL->REMOTE or OFF-LINE->REMOTE,3
4,Processing_State_Change,Any processing state transition(Send by AP),4
5,Alarmn_Detected,ALARM CLEAR->ALARM SET,5
6,Alarmn_Cleared,ALARM SET->ALARM CLEAR,6
7,Operator_Equipment_Constant_Change,Operator activity changed equipment constant,7
8,Process_Program_Change,Operator activity creation\modification\deletion of a process program(Send by AP),8
9,Process_Program_Selected,Operator/Host activity Selected Process Program(Send by AP),9
10,Spooling_Activated,SPOOL INACTIVE->SPOOL ACTIVE,10
11,Spooling_Deactivated,SPOOL OUTPUT->SPOOL INACTIVE,11
12,Spool_Transmit_Failure,TRANSMIT SPOOL->NO SPOOL OUTPUT,12
13,Message_Recognition,Indicating the operator has viewed the text of a host initiated message(Send by AP),13
41,PJ_NoStateToQueued,(E40-PRJobEvent) The Process Job Object is instantiated and enters QUEUED/POOLED state\Create Process Job Object(Send by AP),41
42,PJ_QueuedToSettingUp,(E40-PRJobEvent) The Process Job transits from QUEUED/POOLED state to SETTING UP state(Send by AP),42
43,PJ_SettingUpToWaitingForStart,(E40-PRJobEvent) The Process Job transits from SETTING UP state to WAITING FOR START state(Send by AP),43
44,PJ_SettingUpToProcessing,(E40-PRJobEvent) The Process Job transits from SETTING UP state to PROCESSING state(Send by AP),44
45,PJ_WaittingForStartToProcessing,(E40-PRJobEvent) The Process Job transits from WAITING FOR START state to PROCESSING state(Send by AP),45
46,PJ_ProcessingToProcessComplete,(E40-PRJobEvent) The Process Job transits from PROCESSING state to PROCESS COMPLETE state(Send by AP),46
47,PJ_ProcessCompleteToComplete,(E40-PRJobEvent) The Process Job transits from PROCESS COMPLETE state to Complete\Delete Process Job Object(Send by AP),47
48,PJ_ExecutingToPausing,(E40-PRJobEvent) The Process Job transits from EXECUTING state to PAUSING(Send by AP),48
49,PJ_PausingToPaused,(E40-PRJobEvent) The Process Job transits from PAUSING state to PAUSED(Send by AP),49
50,PJ_PauseToExecuting,(E40-PRJobEvent) The Process Job transits from PAUSE state to EXECUTING(Send by AP),50
51,PJ_ExecutingToStopping,(E40-PRJobEvent) The Process Job transits from EXECUTING state to STOPPING(Send by AP),51
52,PJ_PauseToStopping,(E40-PRJobEvent) The Process Job transits from PAUSE state to STOPPING(Send by AP),52
53,PJ_ExecutingToAborting,(E40-PRJobEvent) The Process Job transits from EXECUTING state to ABORTING(Send by AP),53
54,PJ_StoppingToAborting,(E40-PRJobEvent) The Process Job transits from STOPPING state to ABORTING(Send by AP),54
55,PJ_PauseToAborting,(E40-PRJobEvent) The Process Job transits from PAUSE state to ABORTING(Send by AP),55
56,PJ_AbortingToComplete,(E40-PRJobEvent) The Process Job transits from ABORTING state to Complete\Delete Process Job Object(Send by AP),56
57,PJ_StoppingToComplete,(E40-PRJobEvent) The Process Job transits from STOPPING state to Complete\Delete Process Job Object(Send by AP),57
58,PJ_QueuedToComplete,(E40-PRJobEvent) The Process Job transits from QUEUED/POOLED state to Complete\Delete Process Job Object(Send by AP),58
71,PJ_PRJobSetup,(E40-PRJobAlert) Process Job milestones - PRJobSetup(Send by AP),71
72,PJ_JobProcessing,(E40-PRJobAlert) Process Job milestones - JobProcessing(Send by AP),72
73,PJ_JobProcessingComplete,(E40-PRJobAlert) Process Job milestones - JobProcessingComplete(Send by AP),73
74,PJ_JobComplete,(E40-PRJobAlert) Process Job milestones - JobComplete(Send by AP),74
75,PJ_JobWaitingForStart,(E40-PRJobAlert) Process Job milestones - JobWaitingForStart(Send by AP),75
91,CJ_NoStateToQueued,(E94-CtrlJobEvent) The Control Job Object is instantiated and enters QUEUED/POOLED state\Create Control Job Object(Send by AP),91
92,CJ_QueuedToComplete(Termination),(E94-CtrlJobEvent) The Control Job transits from QUEUED state to Complete\Delete Control Job Object(Send by AP),92
93,CJ_QueuedToSelected,(E94-CtrlJobEvent) The Control Job transits from QUEUED state to SELECTED state(Send by AP),93
94,CJ_SelectedToQueued,(E94-CtrlJobEvent) The Control Job transits from SELECTED state to QUEUED state(Send by AP),94
95,CJ_SelectedToExecuting,(E94-CtrlJobEvent) The Control Job transits from SELECTED state to EXECUTING state(Send by AP),95
96,CJ_SelectedToWaitingForStart,(E94-CtrlJobEvent) The Control Job transits from SELECTED state to WAITING FOR START state(Send by AP),96
97,CJ_WaittingForStartToExecuting,(E94-CtrlJobEvent) The Control Job transits from WAITING FOR START state to EXECUTING state(Send by AP),97
98,CJ_ExecutingToPaused,(E94-CtrlJobEvent) The Control Job transits from EXECUTING state to PAUSED(Send by AP),98
99,CJ_PausedToExecuting,(E94-CtrlJobEvent) The Control Job transits from PAUSED state to EXECUTING(Send by AP),99
100,CJ_ExecutingToCompleted,(E94-CtrlJobEvent) The Control Job transits from EXECUTING state to COMPLETED state(Send by AP),100
101,CJ_ActiveToCompleted(Stop),(E94-CtrlJobEvent) The Control Job transits from ACTIVE state to COMPLETED state(Send by AP),101
102,CJ_ActiveToCompleted(Abort),(E94-CtrlJobEvent) The Control Job transits from ACTIVE state to COMPLETED state(Send by AP),102
103,CJ_CompletedToComplete,(E94-CtrlJobEvent) The Control Job transits from COMPLETED state to Complete\Delete Control Job Object(Send by AP),103
141,STS_Transport_NoStateToAtSource,(E90-SubstEvent) The Substrate Object is Created and enters AT SOURCE state(Send by AP),141
142,STS_Transport_AtSourceToAtWork,(E90-SubstEvent) The Substrate transits from AT SOURCE state to AT WORK(Send by AP),142
143,STS_Transport_AtWorkToAtSource,(E90-SubstEvent) The Substrate transits from AT WORK state to AT SOURCE(Send by AP),143
144,STS_Transport_AtWorkToAtWork,(E90-SubstEvent) The Substrate transits from AT WORK state to AT WORK(Send by AP),144
145,STS_Transport_AtWorkToAtDestination,(E90-SubstEvent) The Substrate transits from AT WORK state to AT DESTINATION(Send by AP),145
146,STS_Transport_AtDestinationToAtWork,(E90-SubstEvent) The Substrate transits from AT DESTINATION state to AT WORK(Send by AP),146
147,STS_Transport_AtDestinationToExtinction,(E90-SubstEvent) The Substrate transits from AT DESTINATION state to Extinction\Delete Substrate Object(Send by AP),147
148,STS_Transport_AtDestinationToAtSource,(E90-SubstEvent) The Substrate transits from AT DESTINATION state to AT SOURCE(Send by AP),148
