// Alarm Init,,,,
//,3,,,
// Name,ID,CD,Enabled,Text
Loader - Rail door inspection abnormal,10001,,1,Loader - 門檢異常
Loader - The emergency stop was pressed.,10002,,1,Loader - 緊急停止被按下。
Loader - Air Pressure Low(X02),10003,,1,Loader - 氣壓不足(X02)。
Loader - Jaws cylinder abnormal (X03),10004,,1,Loader - 夾爪氣缸動檢(X03)-異常。
Loader - Jaws cylinder abnormal (X04),10005,,1,Loader - 夾爪氣缸原點檢(X04)-異常。
Loader - Jaws Right side abnormal (X05),10006,,1,Loader - 料匣感知-R(X05)-異常。
Loader - Jaws Left side abnormal (X06),10007,,1,Loader - 料匣感知-L(X06)-異常。
Loader - Inlet area Z position wrong(X07),10008,,1,Loader - 入料區-夾匣位置檢(X07)-異常。
Loader - Outlet area Z position wrong(X08),10009,,1,Loader - 出料區-夾匣位置檢(X08)-異常。
Loader - Boat stuck(X09),10010,,1,Loader - Boat盤推移防撞檢(X09)-異常。
Loader - Inlet area arrive sensor error(X10),10011,,1,Loader - 入料區-料匣到位檢(X10)-異常。
Loader - Inlet CV motor error(X11),10012,,1,Loader - 入料區-料匣皮帶馬達(X11)-異常。
Loader - Outlet area arrive sensor error(X12),10013,,1,Loader - 出料區-料匣到位檢(X12)-異常。
Loader - Outlet CV motor error(X13),10014,,1,Loader - 出料區-料匣皮帶馬達(X13)-異常。
Loader - Boat fall down(X14),10015,,1,Loader - Boat盤入料檢(X14)-異常。
Loader - Boat fall down(X18),10016,,1,Loader - Boat盤出料檢(X18)-異常。
Loader - Track side CV motor error(X19),10017,,1,Loader - Boat盤皮帶馬達(X19)-異常。
Loader - Inlet area need Magazine(X21),10018,,1,Loader - 入料區-料匣缺料檢知(X21)-異常。
Loader - Outlet area Full(X22),10019,,1,Loader - 出料區-料匣滿料檢知(X22)-異常。
Loader - X position wrong can not move Z(X23),10020,,1,Loader - Boat盤X軸安全位置檢(X23)-異常。
Loader - Obstacles above the track(X24),10021,,1,Loader - Boat盤晶片平整檢1(X24)-異常。
Loader - Obstacles above the track(X25),10022,,1,Loader - Boat盤晶片平整檢2(X25)-異常。
Loader - Magazine Barcode Error,10023,,1,Loader - 料匣-BarCode-異常。
Loader - Boat Barcode Error,10024,,1,Loader - Boat-BarCode-異常。
Loader - Sensor X15 is on. (please remove obstacle),10025,,1,Loader - Boat盤位置檢1(X15)-異常。（上方不該有東西）
Loader - Sensor X16 is on. (please remove obstacle),10026,,1,Loader - Boat盤位置檢2(X16)-異常。（上方不該有東西）
Loader - Sensor X17 is on. (please remove obstacle),10027,,1,Loader - Boat盤位置檢3(X17)-異常。（上方不該有東西）
Loader - Boat Enter Error,10028,,1,Loader - Boat入料異常。（Boat盤沒推進來）
