// Name,ID,Definition
MagazineMoveInEvent,101,MagazineMoveInEvent
BoatMoveInEvent,102,BoatMoveInEvent
PassBoatMoveOutEvent,103,PassBoatMoveOutEvent
NGBoatMoveOutEvent,104,NGBoatMoveOutEvent
EmptyBoatReleaseEvent,105,EmptyBoatReleaseEvent
Pass1MagazineMoveInEvent,106,Pass1MagazineMoveInEvent
Pass2MagazineMoveInEvent,107,Pass2MagazineMoveInEvent
NGMagazineMoveInEvent,108,NGMagazineMoveInEvent
EmptyMagazineMoveInEvent,109,EmptyMagazineMoveInEvent
Pass1MagazineMoveOutEvent,110,Pass1MagazineMoveOutEvent
Pass2MagazineMoveOutEvent,111,Pass2MagazineMoveOutEvent
NGMagazineMoveOutEvent,112,NGMagazineMoveOutEvent
BoatAssingNGBoatEvent,113,BoatAssingNGBoatEvent
RemoteActionResultEvent,114,RemoteActionResultEvent
EquipmentStartRunEvent,115,EquipmentStartRunEvent
