Id,No,Class,Message,Troubleshooting,Note,MessageE,TroubleshootingE,MessageGB,TroubleshootingGB
1,1,0,AOI - 門檢異常,請檢查是否有遮蔽物，senser是否正常作動。,0,AOI - Rail door inspection abnormal,Undefined,AOI - 门检异常,请检查是否有遮蔽物，senser是否正常作动。
2,2,0,AOI - 緊急停止被按下。,緊急停止被按下。,0,AOI - The emergency stop was pressed.,Undefined,AOI - 紧急停止被按下。,紧急停止被按下。
3,3,0,AOI - 氣壓不足(X02)。,檢查氣壓源。,0,AOI - Air Pressure Low(X02),Undefined,AOI - 气压不足(X02)。,检查气压源。
4,4,0,AOI - 夾板氣缸(A)動檢(X05)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,AOI - Clip cylinder abnormal (X05),Undefined,AOI - 夹板气缸(A)动检(X05)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
5,5,0,AOI - 夾板氣缸(A)原點檢(X06)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,AOI - Clip cylinder abnormal (X06),Undefined,AOI - 夹板气缸(A)原点检(X06)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
6,6,0,AOI - 夾板氣缸(B)動檢(X07)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,AOI - Clip cylinder abnormal (X07),Undefined,AOI - 夹板气缸(B)动检(X07)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
7,7,0,AOI - 夾板氣缸(B)原點檢(X08)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,AOI - Clip cylinder abnormal (X08),Undefined,AOI - 夹板气缸(B)原点检(X08)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
8,8,0,AOI - 靠邊氣缸動檢(X13)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,AOI - Aside cylinder abnormal (X13),Undefined,AOI - 靠边气缸动检(X13)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
9,9,0,AOI - 靠邊氣缸原點檢(X14)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,AOI - Aside cylinder abnormal (X14),Undefined,AOI - 靠边气缸原点检(X14)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
10,10,0,AOI - Boat盤入料檢(X15)-異常。,軌道入口端有Boat盤或料墜落，請查找料或確認sensor門檻值。,0,AOI - Boat fall down(X15),Undefined,AOI - Boat盘入料检(X15)-异常。,轨道入口端有Boat盘或料坠落，请查找料或确认sensor门槛值。
