Id,No,Class,Message,Troubleshooting,Note,MessageE,TroubleshootingE,MessageGB,TroubleshootingGB
1,1,0,Sorter - 門檢異常。,機台門被開啟。,0,Sorter - Rail door inspection abnormal,Undefined,Sorter - 门检异常。,请检查是否有遮蔽物，senser是否正常作动。
2,2,0,Sorter - 緊急停止被按下。,緊急停止被按下。,0,Sorter - The emergency stop was pressed.,Undefined,Sorter - 紧急停止被按下。,紧急停止被按下。
3,3,0,Sorter - 氣壓不足(X02)。,檢查氣壓源。,0,Sorter - Air Pressure Low(X02),Undefined,Sorter - 气压不足(X02)。,检查气压源。
4,4,0,Sorter - 真空不足(X03)。,檢查真空源。,0,Sorter - Vacuum Low(X03),Undefined,Sorter - 真空不足(X03)。,检查真空源。
5,5,0,Sorter - 吸筆不在上位(X04),動作時吸筆不在上位,0,Sorter - Turrets  does not at upper(X04),Undefined,Sorter - 吸笔不在上位(X04),动作时吸笔不在上位
6,6,0,Sorter - 材料檢異常(X05)。,請檢察吸筆下方是否有料,0,Sorter - Unit missing(X05),Undefined,Sorter - 材料检异常(X05)。,请检察吸笔下方是否有料
7,7,0,Sorter - 真空檢異常(X06)。,檢查吸嘴真空源。,0,Sorter - Vacuum Low(X06),Undefined,Sorter - 真空检异常(X06)。,检查真空源。
8,8,0,Sorter - ST區Boat盤門擋汽缸動檢(X07)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Sorter - Door stop cylinder abnormal (X07),Undefined,Sorter - ST区Boat盘门挡汽缸动检(X07)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
9,9,0,Sorter - ST區Boat盤門擋汽缸原點檢(X08)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Sorter - Door stop cylinder abnormal (X08),Undefined,Sorter - ST区Boat盘门挡汽缸原点检(X08)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
10,10,0,Sorter - ST區Boat盤靠邊汽缸動檢(X09)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Sorter - Aside cylinder abnormal (X09),Undefined,Sorter - ST区Boat盘靠边汽缸动检(X09)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
