Id,No,Class,Message,Troubleshooting,Note,MessageE,TroubleshootingE,MessageGB,TroubleshootingGB
1,1,0,Unloader - 門檢異常,請檢查是否有遮蔽物，senser是否正常作動。,0,Unloader - Rail door inspection abnormal,Undefined,Unloader - 门检异常,请检查是否有遮蔽物，senser是否正常作动。
2,2,0,Unloader - 緊急停止被按下。,緊急停止被按下。,0,Unloader - The emergency stop was pressed.,Undefined,Unloader - 紧急停止被按下。,紧急停止被按下。
3,3,0,Unloader - 氣壓不足(X02)。,檢查氣壓源。,0,Unloader - Air Pressure Low(X02),Undefined,Unloader - 气压不足(X02)。,检查气压源。
4,4,0,Unloader - 夾爪氣缸動檢(X03)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Jaws cylinder abnormal (X03),Undefined,Unloader - 夹爪气缸动检(X03)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
5,5,0,Unloader - 夾爪氣缸原點檢(X04)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Jaws cylinder abnormal (X04),Undefined,Unloader - 夹爪气缸原点检(X04)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
6,6,0,Unloader - 夾爪X軸氣缸動檢(X05)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Jaws cylinder X side abnormal (X05),Undefined,Unloader - 夹爪X轴气缸动检(X05)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
7,7,0,Unloader - 夾爪X軸氣缸原點檢(X06)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Jaws cylinder X side abnormal (X06),Undefined,Unloader - 夹爪X轴气缸原点检(X06)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
8,8,0,Unloader - 夾爪Z軸氣缸動檢(X07)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Jaws cylinder Z side abnormal (X07),Undefined,Unloader - 夹爪Z轴气缸动检(X07)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
9,9,0,Unloader - 夾爪Z軸氣缸原點檢(X08)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Jaws cylinder Z side abnormal (X08),Undefined,Unloader - 夹爪Z轴气缸原点检(X08)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
10,10,0,Unloader - 移載汽缸動檢(X09)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Move stage cylinder abnormal (X09),Undefined,Unloader - 移载汽缸动检(X09)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
11,11,0,Unloader - 移載汽缸原點檢(X10)-異常。,氣缸動作與檢知訊號不符，請檢查氣缸壓力是否足夠，或是檢知異常。,0,Unloader - Move stage cylinder abnormal (X10),Undefined,Unloader - 移载汽缸原点检(X10)-异常。,气缸动作与检知讯号不符，请检查气缸压力是否足够，或是检知异常。
12,12,0,Unloader - Boat盤入料檢(X11)-異常。,軌道入口端有Boat盤或料墜落，請查找料或確認sensor門檻值。,0,Unloader - Boat fall down(X11),Undefined,Unloader - Boat盘入料检(X11)-异常。,轨道入口端有Boat盘或料坠落，请查找料或确认sensor门槛值。
13,13,0,Unloader - Boat盤出料檢(X15)-異常。,軌道尾端有Boat盤或料墜落，請查找料或確認sensor門檻值。,0,Unloader - Boat fall down(X15),Undefined,Unloader - Boat盘出料检(X15)-异常。,轨道尾端有Boat盘或料坠落，请查找料或确认sensor门槛值。
14,14,0,Unloader - Boat盤皮帶馬達(X16)-異常。,馬達狀態異常，請將馬達斷電重開。,0,Unloader - Track side CV motor error(X16),Undefined,Unloader - Boat盘皮带马达(X16)-异常。,马达状态异常，请将马达断电重开。
15,15,0,Unloader - 料匣1到位檢(X17)-異常。,1號料匣位置無料匣,0,Unloader - Missing Magazine 1,Undefined,Unloader - 料匣1到位检(X17)-异常。,1号料匣位置无料匣
16,16,0,Unloader - 料匣2到位檢(X18)-異常。,2號料匣位置無料匣,0,Unloader - Missing Magazine 2,Undefined,Unloader - 料匣2到位检(X18)-异常。,2号料匣位置无料匣
17,17,0,Unloader - 料匣3到位檢(X19)-異常。,3號料匣位置無料匣,0,Unloader - Missing Magazine 3,Undefined,Unloader - 料匣3到位检(X19)-异常。,3号料匣位置无料匣
18,18,0,Unloader - 料匣4到位檢(X20)-異常。,4號料匣位置無料匣,0,Unloader - Missing Magazine 4,Undefined,Unloader - 料匣4到位检(X20)-异常。,4号料匣位置无料匣
19,19,0,Unloader - Boat盤晶片平整檢1(X22)-異常。,軌道上方有遮蔽物，請移除遮蔽物。,0,Unloader - Obstacles above the track(X22),Undefined,Unloader - Boat盘晶片平整检1(X22)-异常。,轨道上方有遮蔽物，请移除遮蔽物。
20,20,0,Unloader - Boat盤晶片平整檢2(X23)-異常。,軌道上方有遮蔽物，請移除遮蔽物。,0,Unloader - Obstacles above the track(X23),Undefined,Unloader - Boat盘晶片平整检2(X23)-异常。,轨道上方有遮蔽物，请移除遮蔽物。
21,21,0,Unloader - 料匣1-Boat盤在籍檢(X27)-異常。,夾取時，1號料匣位置無Boat,0,Unloader - Magazine 1 Missing Boat,Undefined,Unloader - 料匣1-Boat盘在籍检(X27)-异常。,夹取时，1号料匣位置无Boat
