// Alarm Init,,,,
//,3,,,
// Name,ID,CD,Enabled,Text
EQP-DDMotorError,10001,,1,EQP-DDMotorError
EQP-CDAError,10002,,1,EQP-CDAError
EQP-EMO,10003,,1,EQP-EMO
EQP-StageVacuumError,10004,,1,EQP-StageVacuumError
EQP-CylinderUpError,10005,,1,EQP-CylinderUpError
EQP-CylinderDownError,10006,,1,EQP-CylinderDownError
EQP-DoorOpen,10007,,1,EQP-DoorOpen
EQP-AxleCardError,10008,,1,EQP-AxleCardError
EQP-IOCardError,10009,,1,EQP-IOCardError
EQP-DataAnalysisError,10010,,1,EQP-DataAnalysisError
EQP-PT_PLC_ReturnHomeBlockError,10011,,1,PT_PLC_ReturnHomeBlockError
EQP-PT_PLC_ReturnHomeError,10012,,1,PT_PLC_ReturnHomeError
EQP-PT_PLC_MoveToSafePointError,10013,,1,PT_PLC_MoveToSafePointError
EQP-PT_PLC_MoveTimeoutError,10014,,1,PT_PLC_MoveTimeoutError
EFEM-GetVersionError,20001,,1,EFEM-GetVersionError
EFEM-RemoteControlError,20002,,1,EFEM-RemoteControlError
EFEM-LocalControlError,20003,,1,EFEM-LocalControlError
EFEM-GetCurrentModeError,20004,,1,EFEM-GetCurrentModeError
EFEM-GetStatusError,20005,,1,EFEM-GetStatusError
EFEM-All_HomeError,20006,,1,EFEM-All_HomeError
EFEM-All_ResetError,20007,,1,EFEM-All_ResetError
EFEM-Stage1_HomeError,20008,,1,EFEM-Stage1_HomeError
EFEM-Loadport_P1_GetStatusError,30001,,1,EFEM-Loadport_P1_GetStatusError
EFEM-Loadport_P2_GetStatusError,30002,,1,EFEM-Loadport_P2_GetStatusError
EFEM-Loadport_P1_HomeError,30003,,1,EFEM-Loadport_P1_HomeError
EFEM-Loadport_P2_HomeError,30004,,1,EFEM-Loadport_P2_HomeError
EFEM-Loadport_P1_ResetError,30005,,1,EFEM-Loadport_P1_ResetError
EFEM-Loadport_P2_ResetError,30006,,1,EFEM-Loadport_P2_ResetError
EFEM-Loadport_P1_ResetComPortError,30007,,1,EFEM-Loadport_P1_ResetComPortError
EFEM-Loadport_P2_ResetComPortError,30008,,1,EFEM-Loadport_P2_ResetComPortError
EFEM-Loadport_P1_ReadFoupIDError,30009,,1,EFEM-Loadport_P1_ReadFoupIDError
EFEM-Loadport_P2_ReadFoupIDError,30010,,1,EFEM-Loadport_P2_ReadFoupIDError
EFEM-Loadport_P1_ClampError,30011,,1,EFEM-Loadport_P1_ClampError
EFEM-Loadport_P2_ClampError,30012,,1,EFEM-Loadport_P2_ClampError
EFEM-Loadport_P1_LoadError,30013,,1,EFEM-Loadport_P1_LoadError
EFEM-Loadport_P2_LoadError,30014,,1,EFEM-Loadport_P2_LoadError
EFEM-Loadport_P1_UnloadError,30015,,1,EFEM-Loadport_P1_UnloadError
EFEM-Loadport_P2_UnloadError,30016,,1,EFEM-Loadport_P2_UnloadError
EFEM-Loadport_P1_MapError,30017,,1,EFEM-Loadport_P1_MapError
EFEM-Loadport_P2_MapError,30018,,1,EFEM-Loadport_P2_MapError
EFEM-Loadport_P1_StopError,30019,,1,EFEM-Loadport_P1_StopError
EFEM-Loadport_P2_StopError,30020,,1,EFEM-Loadport_P2_StopError
EFEM-Loadport_P1_GetWaferSlotError,30021,,1,EFEM-Loadport_P1_GetWaferSlotError
EFEM-Loadport_P2_GetWaferSlotError,30022,,1,EFEM-Loadport_P2_GetWaferSlotError
EFEM-Loadport_P1_GetWaferSlot2Error,30023,,1,EFEM-Loadport_P1_GetWaferSlot2Error
EFEM-Loadport_P2_GetWaferSlot2Error,30024,,1,EFEM-Loadport_P2_GetWaferSlot2Error
EFEM-Loadport_P1_GetWaferThicknessError,30025,,1,EFEM-Loadport_P1_GetWaferThicknessError
EFEM-Loadport_P2_GetWaferThicknessError,30026,,1,EFEM-Loadport_P2_GetWaferThicknessError
EFEM-Loadport_P1_LEDLoadOnError,30027,,1,EFEM-Loadport_P1_LEDLoadOnError
EFEM-Loadport_P1_LEDLoadOffError,30028,,1,EFEM-Loadport_P1_LEDLoadOffError
EFEM-Loadport_P1_LEDLoadFlashError,30029,,1,EFEM-Loadport_P1_LEDLoadFlashError
EFEM-Loadport_P2_LEDLoadOnError,30030,,1,EFEM-Loadport_P2_LEDLoadOnError
EFEM-Loadport_P2_LEDLoadOffError,30031,,1,EFEM-Loadport_P2_LEDLoadOffError
EFEM-Loadport_P2_LEDLoadFlashError,30032,,1,EFEM-Loadport_P2_LEDLoadFlashError
EFEM-Loadport_P1_LEDUnLoadOnError,30033,,1,EFEM-Loadport_P1_LEDUnLoadOnError
EFEM-Loadport_P1_LEDUnLoadOffError,30034,,1,EFEM-Loadport_P1_LEDUnLoadOffError
EFEM-Loadport_P1_LEDUnLoadFlashError,30035,,1,EFEM-Loadport_P1_LEDUnLoadFlashError
EFEM-Loadport_P2_LEDUnLoadOnError,30036,,1,EFEM-Loadport_P2_LEDUnLoadOnError
EFEM-Loadport_P2_LEDUnLoadOffError,30037,,1,EFEM-Loadport_P2_LEDUnLoadOffError
EFEM-Loadport_P2_LEDUnLoadFlashError,30038,,1,EFEM-Loadport_P2_LEDUnLoadFlashError
EFEM-Loadport_P1_LEDStatus1OnError,30039,,1,EFEM-Loadport_P1_LEDStatus1OnError
EFEM-Loadport_P1_LEDStatus1OffError,30040,,1,EFEM-Loadport_P1_LEDStatus1OffError
EFEM-Loadport_P1_LEDStatus1FlashError,30041,,1,EFEM-Loadport_P1_LEDStatus1FlashError
EFEM-Loadport_P2_LEDStatus1OnError,30042,,1,EFEM-Loadport_P2_LEDStatus1OnError
EFEM-Loadport_P2_LEDStatus1OffError,30043,,1,EFEM-Loadport_P2_LEDStatus1OffError
EFEM-Loadport_P2_LEDStatus1FlashError,30044,,1,EFEM-Loadport_P2_LEDStatus1FlashError
EFEM-Loadport_P1_LEDStatus2OnError,30045,,1,EFEM-Loadport_P1_LEDStatus2OnError
EFEM-Loadport_P1_LEDStatus2OffError,30046,,1,EFEM-Loadport_P1_LEDStatus2OffError
EFEM-Loadport_P1_LEDStatus2FlashError,30047,,1,EFEM-Loadport_P1_LEDStatus2FlashError
EFEM-Loadport_P2_LEDStatus2OnError,30048,,1,EFEM-Loadport_P2_LEDStatus2OnError
EFEM-Loadport_P2_LEDStatus2OffError,30049,,1,EFEM-Loadport_P2_LEDStatus2OffError
EFEM-Loadport_P2_LEDStatus2FlashError,30050,,1,EFEM-Loadport_P2_LEDStatus2FlashError
EFEM-Loadport_P1_GetLEDStatusError,30051,,1,EFEM-Loadport_P1_GetLEDStatusError
EFEM-Loadport_P2_GetLEDStatusError,30052,,1,EFEM-Loadport_P2_GetLEDStatusError
EFEM-Loadport_P1_SetOperatorAccessButtonOnError,30053,,1,EFEM-Loadport_P1_SetOperatorAccessButtonOnError
EFEM-Loadport_P1_SetOperatorAccessButtonOffError,30054,,1,EFEM-Loadport_P1_SetOperatorAccessButtonOffError
EFEM-Loadport_P1_SetOperatorAccessButtonFlashError,30055,,1,EFEM-Loadport_P1_SetOperatorAccessButtonFlashError
EFEM-Loadport_P2_SetOperatorAccessButtonOnError,30056,,1,EFEM-Loadport_P2_SetOperatorAccessButtonOnError
EFEM-Loadport_P2_SetOperatorAccessButtonOffError,30057,,1,EFEM-Loadport_P2_SetOperatorAccessButtonOffError
EFEM-Loadport_P2_SetOperatorAccessButtonFlashError,30058,,1,EFEM-Loadport_P2_SetOperatorAccessButtonFlashError
EFEM-Loadport_P1_GetZAxisPosError,30059,,1,EFEM-Loadport_P1_GetZAxisPosError
EFEM-Loadport_P2_GetZAxisPosError,30060,,1,EFEM-Loadport_P2_GetZAxisPosError
EFEM-Robot_GetStatusError,40001,,1,EFEM-Robot_GetStatusError
EFEM-Robot_StopError,40002,,1,EFEM-Robot_StopError
EFEM-Robot_ReStartError,40003,,1,EFEM-Robot_ReStartError
EFEM-Robot_SetRobotSpeedError,40004,,1,EFEM-Robot_SetRobotSpeedError
EFEM-Robot_ReadPositionError,40005,,1,EFEM-Robot_ReadPositionError
EFEM-Robot_WaferGetError(LowerArm-P1-Slot1),40006,,1,EFEM-Robot_WaferGetError(LowerArm-P1-Slot1)
