//Name,ID,DataType,Length,Unit,Remark,SystemID,BindObjType,BindObjTypeSeq,BindObjID
STS_SUBSTLOCSTATE61_LOADPORT1.07,100119,UINT_1,,,(E90-STS) [SUBSTLOC-61] State of Substrate Location,776,SUBSTLOC,61,LOADPORT1.07
STS_OBJID61_LOADPORT1.07,100120,ASCII,,,(E90-STS) [SUBSTLOC-61] Substrate Location ID (Identifier ID),777,SUBSTLOC,61,LOADPORT1.07
STS_SUBSTID62_LOADPORT1.08,100121,ASCII,,,(E90-STS) [SUBSTLOC-62] Substrate ID of the substrate at the substrate location,778,SUBSTLOC,62,LOADPORT1.08
STS_SUBSTLOCSTATE62_LOADPORT1.08,100122,UINT_1,,,(E90-STS) [SUBSTLOC-62] State of Substrate Location,779,SUBSTLOC,62,LOADPORT1.08
STS_OBJID62_LOADPORT1.08,100123,ASCII,,,(E90-STS) [SUBSTLOC-62] Substrate Location ID (Identifier ID),780,SUBSTLOC,62,LOADPORT1.08
STS_SUBSTID63_LOADPORT1.09,100124,ASCII,,,(E90-STS) [SUBSTLOC-63] Substrate ID of the substrate at the substrate location,781,SUBSTLOC,63,LOADPORT1.09
STS_SUBSTLOCSTATE63_LOADPORT1.09,100125,UINT_1,,,(E90-STS) [SUBSTLOC-63] State of Substrate Location,782,SUBSTLOC,63,LOADPORT1.09
STS_OBJID63_LOADPORT1.09,100126,ASCII,,,(E90-STS) [SUBSTLOC-63] Substrate Location ID (Identifier ID),783,SUBSTLOC,63,LOADPORT1.09
STS_SUBSTID64_LOADPORT1.10,100127,ASCII,,,(E90-STS) [SUBSTLOC-64] Substrate ID of the substrate at the substrate location,784,SUBSTLOC,64,LOADPORT1.10
STS_SUBSTLOCSTATE64_LOADPORT1.10,100128,UINT_1,,,(E90-STS) [SUBSTLOC-64] State of Substrate Location,785,SUBSTLOC,64,LOADPORT1.10
STS_OBJID64_LOADPORT1.10,100129,ASCII,,,(E90-STS) [SUBSTLOC-64] Substrate Location ID (Identifier ID),786,SUBSTLOC,64,LOADPORT1.10
STS_SUBSTID65_LOADPORT1.11,100130,ASCII,,,(E90-STS) [SUBSTLOC-65] Substrate ID of the substrate at the substrate location,787,SUBSTLOC,65,LOADPORT1.11
STS_SUBSTLOCSTATE65_LOADPORT1.11,100131,UINT_1,,,(E90-STS) [SUBSTLOC-65] State of Substrate Location,788,SUBSTLOC,65,LOADPORT1.11
STS_OBJID65_LOADPORT1.11,100132,ASCII,,,(E90-STS) [SUBSTLOC-65] Substrate Location ID (Identifier ID),789,SUBSTLOC,65,LOADPORT1.11
STS_SUBSTID66_LOADPORT1.12,100133,ASCII,,,(E90-STS) [SUBSTLOC-66] Substrate ID of the substrate at the substrate location,790,SUBSTLOC,66,LOADPORT1.12
STS_SUBSTLOCSTATE66_LOADPORT1.12,100134,UINT_1,,,(E90-STS) [SUBSTLOC-66] State of Substrate Location,791,SUBSTLOC,66,LOADPORT1.12
STS_OBJID66_LOADPORT1.12,100135,ASCII,,,(E90-STS) [SUBSTLOC-66] Substrate Location ID (Identifier ID),792,SUBSTLOC,66,LOADPORT1.12
STS_SUBSTID67_LOADPORT1.13,100136,ASCII,,,(E90-STS) [SUBSTLOC-67] Substrate ID of the substrate at the substrate location,793,SUBSTLOC,67,LOADPORT1.13
STS_SUBSTLOCSTATE67_LOADPORT1.13,100137,UINT_1,,,(E90-STS) [SUBSTLOC-67] State of Substrate Location,794,SUBSTLOC,67,LOADPORT1.13
STS_OBJID67_LOADPORT1.13,100138,ASCII,,,(E90-STS) [SUBSTLOC-67] Substrate Location ID (Identifier ID),795,SUBSTLOC,67,LOADPORT1.13
STS_SUBSTID68_LOADPORT1.14,100139,ASCII,,,(E90-STS) [SUBSTLOC-68] Substrate ID of the substrate at the substrate location,796,SUBSTLOC,68,LOADPORT1.14
STS_SUBSTLOCSTATE68_LOADPORT1.14,100140,UINT_1,,,(E90-STS) [SUBSTLOC-68] State of Substrate Location,797,SUBSTLOC,68,LOADPORT1.14
STS_OBJID68_LOADPORT1.14,100141,ASCII,,,(E90-STS) [SUBSTLOC-68] Substrate Location ID (Identifier ID),798,SUBSTLOC,68,LOADPORT1.14
STS_SUBSTID69_LOADPORT1.15,100142,ASCII,,,(E90-STS) [SUBSTLOC-69] Substrate ID of the substrate at the substrate location,799,SUBSTLOC,69,LOADPORT1.15
STS_SUBSTLOCSTATE69_LOADPORT1.15,100143,UINT_1,,,(E90-STS) [SUBSTLOC-69] State of Substrate Location,800,SUBSTLOC,69,LOADPORT1.15
STS_OBJID69_LOADPORT1.15,100144,ASCII,,,(E90-STS) [SUBSTLOC-69] Substrate Location ID (Identifier ID),801,SUBSTLOC,69,LOADPORT1.15
STS_SUBSTID70_LOADPORT1.16,100145,ASCII,,,(E90-STS) [SUBSTLOC-70] Substrate ID of the substrate at the substrate location,802,SUBSTLOC,70,LOADPORT1.16
STS_SUBSTLOCSTATE70_LOADPORT1.16,100146,UINT_1,,,(E90-STS) [SUBSTLOC-70] State of Substrate Location,803,SUBSTLOC,70,LOADPORT1.16
STS_OBJID70_LOADPORT1.16,100147,ASCII,,,(E90-STS) [SUBSTLOC-70] Substrate Location ID (Identifier ID),804,SUBSTLOC,70,LOADPORT1.16
STS_SUBSTID71_LOADPORT1.17,100148,ASCII,,,(E90-STS) [SUBSTLOC-71] Substrate ID of the substrate at the substrate location,805,SUBSTLOC,71,LOADPORT1.17
STS_SUBSTLOCSTATE71_LOADPORT1.17,100149,UINT_1,,,(E90-STS) [SUBSTLOC-71] State of Substrate Location,806,SUBSTLOC,71,LOADPORT1.17
STS_OBJID71_LOADPORT1.17,100150,ASCII,,,(E90-STS) [SUBSTLOC-71] Substrate Location ID (Identifier ID),807,SUBSTLOC,71,LOADPORT1.17
STS_SUBSTID72_LOADPORT1.18,100151,ASCII,,,(E90-STS) [SUBSTLOC-72] Substrate ID of the substrate at the substrate location,808,SUBSTLOC,72,LOADPORT1.18
STS_SUBSTLOCSTATE72_LOADPORT1.18,100152,UINT_1,,,(E90-STS) [SUBSTLOC-72] State of Substrate Location,809,SUBSTLOC,72,LOADPORT1.18
STS_OBJID72_LOADPORT1.18,100153,ASCII,,,(E90-STS) [SUBSTLOC-72] Substrate Location ID (Identifier ID),810,SUBSTLOC,72,LOADPORT1.18
STS_SUBSTID73_LOADPORT1.19,100154,ASCII,,,(E90-STS) [SUBSTLOC-73] Substrate ID of the substrate at the substrate location,811,SUBSTLOC,73,LOADPORT1.19
STS_SUBSTLOCSTATE73_LOADPORT1.19,100155,UINT_1,,,(E90-STS) [SUBSTLOC-73] State of Substrate Location,812,SUBSTLOC,73,LOADPORT1.19
STS_OBJID73_LOADPORT1.19,100156,ASCII,,,(E90-STS) [SUBSTLOC-73] Substrate Location ID (Identifier ID),813,SUBSTLOC,73,LOADPORT1.19
STS_SUBSTID74_LOADPORT1.20,100157,ASCII,,,(E90-STS) [SUBSTLOC-74] Substrate ID of the substrate at the substrate location,814,SUBSTLOC,74,LOADPORT1.20
STS_SUBSTLOCSTATE74_LOADPORT1.20,100158,UINT_1,,,(E90-STS) [SUBSTLOC-74] State of Substrate Location,815,SUBSTLOC,74,LOADPORT1.20
STS_OBJID74_LOADPORT1.20,100159,ASCII,,,(E90-STS) [SUBSTLOC-74] Substrate Location ID (Identifier ID),816,SUBSTLOC,74,LOADPORT1.20
STS_SUBSTID75_LOADPORT1.21,100160,ASCII,,,(E90-STS) [SUBSTLOC-75] Substrate ID of the substrate at the substrate location,817,SUBSTLOC,75,LOADPORT1.21
STS_SUBSTLOCSTATE75_LOADPORT1.21,100161,UINT_1,,,(E90-STS) [SUBSTLOC-75] State of Substrate Location,818,SUBSTLOC,75,LOADPORT1.21
STS_OBJID75_LOADPORT1.21,100162,ASCII,,,(E90-STS) [SUBSTLOC-75] Substrate Location ID (Identifier ID),819,SUBSTLOC,75,LOADPORT1.21
STS_SUBSTID76_LOADPORT1.22,100163,ASCII,,,(E90-STS) [SUBSTLOC-76] Substrate ID of the substrate at the substrate location,820,SUBSTLOC,76,LOADPORT1.22
STS_SUBSTLOCSTATE76_LOADPORT1.22,100164,UINT_1,,,(E90-STS) [SUBSTLOC-76] State of Substrate Location,821,SUBSTLOC,76,LOADPORT1.22
STS_OBJID76_LOADPORT1.22,100165,ASCII,,,(E90-STS) [SUBSTLOC-76] Substrate Location ID (Identifier ID),822,SUBSTLOC,76,LOADPORT1.22
STS_SUBSTID77_LOADPORT1.23,100166,ASCII,,,(E90-STS) [SUBSTLOC-77] Substrate ID of the substrate at the substrate location,823,SUBSTLOC,77,LOADPORT1.23
STS_SUBSTLOCSTATE77_LOADPORT1.23,100167,UINT_1,,,(E90-STS) [SUBSTLOC-77] State of Substrate Location,824,SUBSTLOC,77,LOADPORT1.23
STS_OBJID77_LOADPORT1.23,100168,ASCII,,,(E90-STS) [SUBSTLOC-77] Substrate Location ID (Identifier ID),825,SUBSTLOC,77,LOADPORT1.23
STS_SUBSTID78_LOADPORT1.24,100169,ASCII,,,(E90-STS) [SUBSTLOC-78] Substrate ID of the substrate at the substrate location,826,SUBSTLOC,78,LOADPORT1.24
STS_SUBSTLOCSTATE78_LOADPORT1.24,100170,UINT_1,,,(E90-STS) [SUBSTLOC-78] State of Substrate Location,827,SUBSTLOC,78,LOADPORT1.24
STS_OBJID78_LOADPORT1.24,100171,ASCII,,,(E90-STS) [SUBSTLOC-78] Substrate Location ID (Identifier ID),828,SUBSTLOC,78,LOADPORT1.24
STS_SUBSTID79_LOADPORT1.25,100172,ASCII,,,(E90-STS) [SUBSTLOC-79] Substrate ID of the substrate at the substrate location,829,SUBSTLOC,79,LOADPORT1.25
STS_SUBSTLOCSTATE79_LOADPORT1.25,100173,UINT_1,,,(E90-STS) [SUBSTLOC-79] State of Substrate Location,830,SUBSTLOC,79,LOADPORT1.25
STS_OBJID79_LOADPORT1.25,100174,ASCII,,,(E90-STS) [SUBSTLOC-79] Substrate Location ID (Identifier ID),831,SUBSTLOC,79,LOADPORT1.25
STS_SUBSTID80_LOADPORT2.01,100175,ASCII,,,(E90-STS) [SUBSTLOC-80] Substrate ID of the substrate at the substrate location,832,SUBSTLOC,80,LOADPORT2.01
STS_SUBSTLOCSTATE80_LOADPORT2.01,100176,UINT_1,,,(E90-STS) [SUBSTLOC-80] State of Substrate Location,833,SUBSTLOC,80,LOADPORT2.01
STS_OBJID80_LOADPORT2.01,100177,ASCII,,,(E90-STS) [SUBSTLOC-80] Substrate Location ID (Identifier ID),834,SUBSTLOC,80,LOADPORT2.01
STS_SUBSTID81_LOADPORT2.02,100178,ASCII,,,(E90-STS) [SUBSTLOC-81] Substrate ID of the substrate at the substrate location,835,SUBSTLOC,81,LOADPORT2.02
STS_SUBSTLOCSTATE81_LOADPORT2.02,100179,UINT_1,,,(E90-STS) [SUBSTLOC-81] State of Substrate Location,836,SUBSTLOC,81,LOADPORT2.02
STS_OBJID81_LOADPORT2.02,100180,ASCII,,,(E90-STS) [SUBSTLOC-81] Substrate Location ID (Identifier ID),837,SUBSTLOC,81,LOADPORT2.02
STS_SUBSTID82_LOADPORT2.03,100181,ASCII,,,(E90-STS) [SUBSTLOC-82] Substrate ID of the substrate at the substrate location,838,SUBSTLOC,82,LOADPORT2.03
STS_SUBSTLOCSTATE82_LOADPORT2.03,100182,UINT_1,,,(E90-STS) [SUBSTLOC-82] State of Substrate Location,839,SUBSTLOC,82,LOADPORT2.03
STS_OBJID82_LOADPORT2.03,100183,ASCII,,,(E90-STS) [SUBSTLOC-82] Substrate Location ID (Identifier ID),840,SUBSTLOC,82,LOADPORT2.03
STS_SUBSTID83_LOADPORT2.04,100184,ASCII,,,(E90-STS) [SUBSTLOC-83] Substrate ID of the substrate at the substrate location,841,SUBSTLOC,83,LOADPORT2.04
STS_SUBSTLOCSTATE83_LOADPORT2.04,100185,UINT_1,,,(E90-STS) [SUBSTLOC-83] State of Substrate Location,842,SUBSTLOC,83,LOADPORT2.04
STS_OBJID83_LOADPORT2.04,100186,ASCII,,,(E90-STS) [SUBSTLOC-83] Substrate Location ID (Identifier ID),843,SUBSTLOC,83,LOADPORT2.04
STS_SUBSTID84_LOADPORT2.05,100187,ASCII,,,(E90-STS) [SUBSTLOC-84] Substrate ID of the substrate at the substrate location,844,SUBSTLOC,84,LOADPORT2.05
STS_SUBSTLOCSTATE84_LOADPORT2.05,100188,UINT_1,,,(E90-STS) [SUBSTLOC-84] State of Substrate Location,845,SUBSTLOC,84,LOADPORT2.05
STS_OBJID84_LOADPORT2.05,100189,ASCII,,,(E90-STS) [SUBSTLOC-84] Substrate Location ID (Identifier ID),846,SUBSTLOC,84,LOADPORT2.05
STS_SUBSTID85_LOADPORT2.06,100190,ASCII,,,(E90-STS) [SUBSTLOC-85] Substrate ID of the substrate at the substrate location,847,SUBSTLOC,85,LOADPORT2.06
STS_SUBSTLOCSTATE85_LOADPORT2.06,100191,UINT_1,,,(E90-STS) [SUBSTLOC-85] State of Substrate Location,848,SUBSTLOC,85,LOADPORT2.06
STS_OBJID85_LOADPORT2.06,100192,ASCII,,,(E90-STS) [SUBSTLOC-85] Substrate Location ID (Identifier ID),849,SUBSTLOC,85,LOADPORT2.06
STS_SUBSTID86_LOADPORT2.07,100193,ASCII,,,(E90-STS) [SUBSTLOC-86] Substrate ID of the substrate at the substrate location,850,SUBSTLOC,86,LOADPORT2.07
STS_SUBSTLOCSTATE86_LOADPORT2.07,100194,UINT_1,,,(E90-STS) [SUBSTLOC-86] State of Substrate Location,851,SUBSTLOC,86,LOADPORT2.07
STS_OBJID86_LOADPORT2.07,100195,ASCII,,,(E90-STS) [SUBSTLOC-86] Substrate Location ID (Identifier ID),852,SUBSTLOC,86,LOADPORT2.07
STS_SUBSTID87_LOADPORT2.08,100196,ASCII,,,(E90-STS) [SUBSTLOC-87] Substrate ID of the substrate at the substrate location,853,SUBSTLOC,87,LOADPORT2.08
STS_SUBSTLOCSTATE87_LOADPORT2.08,100197,UINT_1,,,(E90-STS) [SUBSTLOC-87] State of Substrate Location,854,SUBSTLOC,87,LOADPORT2.08
STS_OBJID87_LOADPORT2.08,100198,ASCII,,,(E90-STS) [SUBSTLOC-87] Substrate Location ID (Identifier ID),855,SUBSTLOC,87,LOADPORT2.08
STS_SUBSTID88_LOADPORT2.09,100199,ASCII,,,(E90-STS) [SUBSTLOC-88] Substrate ID of the substrate at the substrate location,856,SUBSTLOC,88,LOADPORT2.09
STS_SUBSTLOCSTATE88_LOADPORT2.09,100200,UINT_1,,,(E90-STS) [SUBSTLOC-88] State of Substrate Location,857,SUBSTLOC,88,LOADPORT2.09
STS_OBJID88_LOADPORT2.09,100201,ASCII,,,(E90-STS) [SUBSTLOC-88] Substrate Location ID (Identifier ID),858,SUBSTLOC,88,LOADPORT2.09
STS_SUBSTID89_LOADPORT2.10,100202,ASCII,,,(E90-STS) [SUBSTLOC-89] Substrate ID of the substrate at the substrate location,859,SUBSTLOC,89,LOADPORT2.10
STS_SUBSTLOCSTATE89_LOADPORT2.10,100203,UINT_1,,,(E90-STS) [SUBSTLOC-89] State of Substrate Location,860,SUBSTLOC,89,LOADPORT2.10
STS_OBJID89_LOADPORT2.10,100204,ASCII,,,(E90-STS) [SUBSTLOC-89] Substrate Location ID (Identifier ID),861,SUBSTLOC,89,LOADPORT2.10
STS_SUBSTID90_LOADPORT2.11,100205,ASCII,,,(E90-STS) [SUBSTLOC-90] Substrate ID of the substrate at the substrate location,862,SUBSTLOC,90,LOADPORT2.11
STS_SUBSTLOCSTATE90_LOADPORT2.11,100206,UINT_1,,,(E90-STS) [SUBSTLOC-90] State of Substrate Location,863,SUBSTLOC,90,LOADPORT2.11
STS_OBJID90_LOADPORT2.11,100207,ASCII,,,(E90-STS) [SUBSTLOC-90] Substrate Location ID (Identifier ID),864,SUBSTLOC,90,LOADPORT2.11
STS_SUBSTID91_LOADPORT2.12,100208,ASCII,,,(E90-STS) [SUBSTLOC-91] Substrate ID of the substrate at the substrate location,865,SUBSTLOC,91,LOADPORT2.12
STS_SUBSTLOCSTATE91_LOADPORT2.12,100209,UINT_1,,,(E90-STS) [SUBSTLOC-91] State of Substrate Location,866,SUBSTLOC,91,LOADPORT2.12
STS_OBJID91_LOADPORT2.12,100210,ASCII,,,(E90-STS) [SUBSTLOC-91] Substrate Location ID (Identifier ID),867,SUBSTLOC,91,LOADPORT2.12
STS_SUBSTID92_LOADPORT2.13,100211,ASCII,,,(E90-STS) [SUBSTLOC-92] Substrate ID of the substrate at the substrate location,868,SUBSTLOC,92,LOADPORT2.13
STS_SUBSTLOCSTATE92_LOADPORT2.13,100212,UINT_1,,,(E90-STS) [SUBSTLOC-92] State of Substrate Location,869,SUBSTLOC,92,LOADPORT2.13
STS_OBJID92_LOADPORT2.13,100213,ASCII,,,(E90-STS) [SUBSTLOC-92] Substrate Location ID (Identifier ID),870,SUBSTLOC,92,LOADPORT2.13
STS_SUBSTID93_LOADPORT2.14,100214,ASCII,,,(E90-STS) [SUBSTLOC-93] Substrate ID of the substrate at the substrate location,871,SUBSTLOC,93,LOADPORT2.14
STS_SUBSTLOCSTATE93_LOADPORT2.14,100215,UINT_1,,,(E90-STS) [SUBSTLOC-93] State of Substrate Location,872,SUBSTLOC,93,LOADPORT2.14
STS_OBJID93_LOADPORT2.14,100216,ASCII,,,(E90-STS) [SUBSTLOC-93] Substrate Location ID (Identifier ID),873,SUBSTLOC,93,LOADPORT2.14
STS_SUBSTID94_LOADPORT2.15,100217,ASCII,,,(E90-STS) [SUBSTLOC-94] Substrate ID of the substrate at the substrate location,874,SUBSTLOC,94,LOADPORT2.15
STS_SUBSTLOCSTATE94_LOADPORT2.15,100218,UINT_1,,,(E90-STS) [SUBSTLOC-94] State of Substrate Location,875,SUBSTLOC,94,LOADPORT2.15
STS_OBJID94_LOADPORT2.15,100219,ASCII,,,(E90-STS) [SUBSTLOC-94] Substrate Location ID (Identifier ID),876,SUBSTLOC,94,LOADPORT2.15
STS_SUBSTID95_LOADPORT2.16,100220,ASCII,,,(E90-STS) [SUBSTLOC-95] Substrate ID of the substrate at the substrate location,877,SUBSTLOC,95,LOADPORT2.16
STS_SUBSTLOCSTATE95_LOADPORT2.16,100221,UINT_1,,,(E90-STS) [SUBSTLOC-95] State of Substrate Location,878,SUBSTLOC,95,LOADPORT2.16
STS_OBJID95_LOADPORT2.16,100222,ASCII,,,(E90-STS) [SUBSTLOC-95] Substrate Location ID (Identifier ID),879,SUBSTLOC,95,LOADPORT2.16
STS_SUBSTID96_LOADPORT2.17,100223,ASCII,,,(E90-STS) [SUBSTLOC-96] Substrate ID of the substrate at the substrate location,880,SUBSTLOC,96,LOADPORT2.17
STS_SUBSTLOCSTATE96_LOADPORT2.17,100224,UINT_1,,,(E90-STS) [SUBSTLOC-96] State of Substrate Location,881,SUBSTLOC,96,LOADPORT2.17
STS_OBJID96_LOADPORT2.17,100225,ASCII,,,(E90-STS) [SUBSTLOC-96] Substrate Location ID (Identifier ID),882,SUBSTLOC,96,LOADPORT2.17
STS_SUBSTID97_LOADPORT2.18,100226,ASCII,,,(E90-STS) [SUBSTLOC-97] Substrate ID of the substrate at the substrate location,883,SUBSTLOC,97,LOADPORT2.18
STS_SUBSTLOCSTATE97_LOADPORT2.18,100227,UINT_1,,,(E90-STS) [SUBSTLOC-97] State of Substrate Location,884,SUBSTLOC,97,LOADPORT2.18
STS_OBJID97_LOADPORT2.18,100228,ASCII,,,(E90-STS) [SUBSTLOC-97] Substrate Location ID (Identifier ID),885,SUBSTLOC,97,LOADPORT2.18
STS_SUBSTID98_LOADPORT2.19,100229,ASCII,,,(E90-STS) [SUBSTLOC-98] Substrate ID of the substrate at the substrate location,886,SUBSTLOC,98,LOADPORT2.19
STS_SUBSTLOCSTATE98_LOADPORT2.19,100230,UINT_1,,,(E90-STS) [SUBSTLOC-98] State of Substrate Location,887,SUBSTLOC,98,LOADPORT2.19
STS_OBJID98_LOADPORT2.19,100231,ASCII,,,(E90-STS) [SUBSTLOC-98] Substrate Location ID (Identifier ID),888,SUBSTLOC,98,LOADPORT2.19
STS_SUBSTID99_LOADPORT2.20,100232,ASCII,,,(E90-STS) [SUBSTLOC-99] Substrate ID of the substrate at the substrate location,889,SUBSTLOC,99,LOADPORT2.20
STS_SUBSTLOCSTATE99_LOADPORT2.20,100233,UINT_1,,,(E90-STS) [SUBSTLOC-99] State of Substrate Location,890,SUBSTLOC,99,LOADPORT2.20
STS_OBJID99_LOADPORT2.20,100234,ASCII,,,(E90-STS) [SUBSTLOC-99] Substrate Location ID (Identifier ID),891,SUBSTLOC,99,LOADPORT2.20
STS_SUBSTID100_LOADPORT2.21,100235,ASCII,,,(E90-STS) [SUBSTLOC-100] Substrate ID of the substrate at the substrate location,892,SUBSTLOC,100,LOADPORT2.21
STS_SUBSTLOCSTATE100_LOADPORT2.21,100236,UINT_1,,,(E90-STS) [SUBSTLOC-100] State of Substrate Location,893,SUBSTLOC,100,LOADPORT2.21
STS_OBJID100_LOADPORT2.21,100237,ASCII,,,(E90-STS) [SUBSTLOC-100] Substrate Location ID (Identifier ID),894,SUBSTLOC,100,LOADPORT2.21
STS_SUBSTID101_LOADPORT2.22,100238,ASCII,,,(E90-STS) [SUBSTLOC-101] Substrate ID of the substrate at the substrate location,895,SUBSTLOC,101,LOADPORT2.22
STS_SUBSTLOCSTATE101_LOADPORT2.22,100239,UINT_1,,,(E90-STS) [SUBSTLOC-101] State of Substrate Location,896,SUBSTLOC,101,LOADPORT2.22
STS_OBJID101_LOADPORT2.22,100240,ASCII,,,(E90-STS) [SUBSTLOC-101] Substrate Location ID (Identifier ID),897,SUBSTLOC,101,LOADPORT2.22
