//CEID,Name,Remark,BitNo
2104,MaterialReceived,Foup Placed and Report Load Complete,0
2105,MaterialRemove,Foup Removed and Report Unload Complete,1
1000,CarrierIDRead,Carrier ID has been read,2
1001,CarrierIDReadFail,Carrier ID reading has failed,3
1002,AccessModeAuto,Load port access mode has changed from MANUAL to AUTO,4
1003,AccessModeManu,Load port access mode has changed from AUTO to MANUAL,5
1004,ReadyToLoad,Load port transfer state has changed to READY TO LOAD,6
1005,ReadyToUnload,Load port transfer state has changed to READY TO UNLOAD,7
1006,CarrierClamped,Carrier has been clamped at a load port,8
1007,CarrierUnclamped,Carrier has been unclamped at a load port,9
1008,AccessModeAsk,AccessMode Reply,10
1009,CarrierDoorOpened,Carrier has been opened,11
1010,CarrierDoorClosed,Carrier has been closed,12
1011,LP1_CarrierMapStarted,Carrier mapping has been started at Load Port 1.,13
1012,LP1_CarrierMapped,Carrier map completed at Load Port 1.,14
1013,SlotMap,Carrier slotmap status has changed to Completed,15
1014,MachineRunning,Machine running,16
1015,MachineStop,Machine Stop,17
1016,PortTransferStatusAsk,Port transfer status reply,18
2011,LP2_CarrierMapStarted,Carrier mapping has been started at Load Port 2.,19
2012,LP2_CarrierMapped,Carrier map completed at Load Port 2.,20
5115,CarrierDock,Carrier completed docking.,21
5116,CarrierUnDock,Carrier completed undocking.,22
5999,ProcessStart,Process Start event,23
6000,MeasureResultSend,Measure Result Send,24
6100,MeasureFail,Measure Fail,25
6199,MeasureStart,Measure Start,26
6200,MeasureEnd,Measure End,27
6300,EquipmentConstChange,Measure Result Send,28
6290,PPChange,Measure Result Send,29
5117,CarrierLoadComplete,Carrier load complete.,30
5118,CarrierUnloadComplete,Carrier unload complete.,31
5119,CarrierIDVerifyOK,CarrierID verify ok.,32
5120,SlotmapVerifyOK,Slotmap verify ok.,33
5199,ChamberStart,Chamber Start,34
5200,ChamberEnd,Chamber End,35
5799,ProcessRecipeStart,Process Recipe Start,36
5800,ProcessRecipeEnd,Process Recipe End,37
5709,CleanRecipeStart,Clean Recipe Start,38
5710,CleanRecipeEnd,Clean Recipe End,39
5789,ProcessRecipeStepStart,Process Recipe Step Start,40
5790,ProcessRecipeStepEnd,Process Recipe Step End,41
5699,CleanRecipeStepStart,Clean Recipe Step Start,42
5700,CleanRecipeStepEnd,Clean Recipe Step End,43
