//Name,ID,DataType,Length,Unit,Remark,SeqNo
EQUIPMENTSTATUS,1998,UINT_1,,N/A,Identifier for the equipment status,1
RECIPEID,1999,ASCII,,N/A,Identifier for the recipe id,2
CARRIERID,2000,ASCII,,N/A,Identifier for the carrier,3
PORTID,2001,UINT_1,,N/A,Identifier for the load port,4
ACCESSMODE,2002,UINT_1,,N/A,The access mode of the load port,5
SLOTMAPSTATUS,2003,UINT_1,,N/A,Slotmap status of the carrier,6
PORTTRANSFERSTATE,2005,UINT_1,,N/A,The current transfer state of the load port,7
SLOTMAP_LIST,2010,LIST,,N/A,The slotmap of a carrier,8
REASON,2013,UINT_1,,N/A,Reason for asking the host to proceed with a carrier (slotmap verification),9
LOADPORT1_RECIPE,2014,ASCII,,N/A,The recipe of the load port 1,10
LOADPORT2_RECIPE,2015,ASCII,,N/A,The recipe of the load port 2,11
LOADPORT1_CARRIERID,2018,ASCII,,N/A,Identifier for the carrier of the loadport 1,12
LOADPORT2_CARRIERID,2019,ASCII,,N/A,Identifier for the carrier of the loadport 2,13
LOTID,2022,ASCII,,N/A,LotID,14
SUBSTRATEID,2023,ASCII,,N/A,SubstrateID,15
ANGLE_COUNT,2024,UINT_1,,N/A,Angle_Count,16
CARRIERLOCATION_MATRIX,2040,LIST,,N/A,Carrier Location Matrix,17
SLOTMAP_1,3001,UINT_1,,N/A,SlotMap_1,18
SLOTMAP_2,3002,UINT_1,,N/A,SlotMap_2,19
SLOTMAP_3,3003,UINT_1,,N/A,SlotMap_3,20
SLOTMAP_4,3004,UINT_1,,N/A,SlotMap_4,21
SLOTMAP_5,3005,UINT_1,,N/A,SlotMap_5,22
SLOTMAP_6,3006,UINT_1,,N/A,SlotMap_6,23
SLOTMAP_7,3007,UINT_1,,N/A,SlotMap_7,24
SLOTMAP_8,3008,UINT_1,,N/A,SlotMap_8,25
SLOTMAP_9,3009,UINT_1,,N/A,SlotMap_9,26
SLOTMAP_10,3010,UINT_1,,N/A,SlotMap_10,27
SLOTMAP_11,3011,UINT_1,,N/A,SlotMap_11,28
SLOTMAP_12,3012,UINT_1,,N/A,SlotMap_12,29
SLOTMAP_13,3013,UINT_1,,N/A,SlotMap_13,30
SLOTMAP_14,3014,UINT_1,,N/A,SlotMap_14,31
SLOTMAP_15,3015,UINT_1,,N/A,SlotMap_15,32
SLOTMAP_16,3016,UINT_1,,N/A,SlotMap_16,33
SLOTMAP_17,3017,UINT_1,,N/A,SlotMap_17,34
SLOTMAP_18,3018,UINT_1,,N/A,SlotMap_18,35
SLOTMAP_19,3019,UINT_1,,N/A,SlotMap_19,36
SLOTMAP_20,3020,UINT_1,,N/A,SlotMap_20,37
SLOTMAP_21,3021,UINT_1,,N/A,SlotMap_21,38
SLOTMAP_22,3022,UINT_1,,N/A,SlotMap_22,39
SLOTMAP_23,3023,UINT_1,,N/A,SlotMap_23,40
