//Name,ID,DataType,Length,Unit,Remark,SeqNo
EQP_SV_100092,100092,ASCII,,N/A,Host S1F3 Set2 queried SV,1
EQP_SV_100093,100093,ASCII,,N/A,Host S1F3 Set2 queried SV,2
EQP_SV_100094,100094,ASCII,,N/A,Host S1F3 Set2 queried SV,3
LP1_RESERVATIONSTATE,2026,UINT_1,,N/A,LoadPort 1 ReservationState,4
LP2_RESERVATIONSTATE,2027,UINT_1,,N/A,LoadPort 2 ReservationState,5
LP1_CARRIERID,2028,ASCII,,N/A,LoadPort 1 CarrierID,6
LP2_CARRIERID,2029,ASCII,,N/A,LoadPort 2 CarrierID,7
STS_LOTID,100262,ASCII,,N/A,(E90-STS) Lot ID,8
STS_MATERIALSTATUS,100263,UINT_1,,N/A,(E90-STS) Material Status,9
STS_SUBSTDESTINATION,100264,ASCII,,N/A,(E90-STS) Subst Destination,10
STS_SUBSTHISTORY,100265,LIST,,N/A,(E90-STS) Subst History,11
CMS_CARRIERIDSTATUS,100100,UINT_1,,N/A,(E87) Carrier ID Status,12
CMS_CARRIERACCESSINGSTATUS,100101,UINT_1,,N/A,(E87) Carrier Accessing Status,13
CMS_SUBSTRATECOUNT,100102,UINT_1,,N/A,(E87) Substrate Count,14
CMS_CONTENTMAP,100103,LIST,,N/A,(E87) Content Map,15
CMS_SLOTMAP,100104,LIST,,N/A,(E87) Slot Map,16
CMS_LOCATIONID,100105,ASCII,,N/A,(E87) Location ID,17
CMS_SLOTMAPSTATUS,100106,UINT_1,,N/A,(E87) Slot Map Status,18
CMS_USAGE,100107,ASCII,,N/A,(E87) Usage,19
STS_SUBSTLOCID,100108,ASCII,,N/A,(E90) Subst Loc ID,20
STS_SUBSTPROCSTATE,100109,UINT_1,,N/A,(E90) Subst Proc State,21
STS_SUBSTSOURCE,100110,ASCII,,N/A,(E90) Subst Source,22
STS_SUBSTSTATE,100111,UINT_1,,N/A,(E90) Subst State,23
STS_SUBSTTYPE,100112,UINT_1,,N/A,(E90) Subst Type,24
STS_SUBSTUSAGE,100113,UINT_1,,N/A,(E90) Subst Usage,25
STS_SUBSTACQUIREDID,100114,ASCII,,N/A,(E90) Subst AcquiredID,26
STS_SUBSTBATCHLOCID,100115,ASCII,,N/A,(E90) Subst BatchLocID,27
STS_SUBSTSUBSTIDSTATUS,100116,ASCII,,N/A,(E90) Subst SubstIDStatus,28
STS_SUBSTSUBSTPOSINBATCH,100117,ASCII,,N/A,(E90) Subst SubstPosInBatch,29
EQP_SV_100118,100118,ASCII,,N/A,Carrier/Substrate instance SV,30
EQP_SV_100119,100119,ASCII,,N/A,Carrier/Substrate instance SV,31
EQP_SV_100120,100120,ASCII,,N/A,Carrier/Substrate instance SV,32
EQP_SV_100121,100121,ASCII,,N/A,Carrier/Substrate instance SV,33
EQP_SV_100122,100122,ASCII,,N/A,Carrier/Substrate instance SV,34
EQP_SV_100123,100123,ASCII,,N/A,Carrier/Substrate instance SV,35
EQP_SV_100124,100124,ASCII,,N/A,Carrier/Substrate instance SV,36
EQP_SV_100125,100125,ASCII,,N/A,Carrier/Substrate instance SV,37
EQP_SV_100126,100126,ASCII,,N/A,Carrier/Substrate instance SV,38
EQP_SV_100127,100127,ASCII,,N/A,Carrier/Substrate instance SV,39
EQP_SV_100128,100128,ASCII,,N/A,Carrier/Substrate instance SV,40
EQP_SV_100129,100129,ASCII,,N/A,Carrier/Substrate instance SV,41
EQP_SV_100130,100130,ASCII,,N/A,Carrier/Substrate instance SV,42
EQP_SV_100131,100131,ASCII,,N/A,Carrier/Substrate instance SV,43
EQP_SV_100132,100132,ASCII,,N/A,Carrier/Substrate instance SV,44
EQP_SV_100133,100133,ASCII,,N/A,Carrier/Substrate instance SV,45
EQP_SV_100134,100134,ASCII,,N/A,Carrier/Substrate instance SV,46
EQP_SV_100135,100135,ASCII,,N/A,Carrier/Substrate instance SV,47
EQP_SV_100136,100136,ASCII,,N/A,Carrier/Substrate instance SV,48
EQP_SV_100137,100137,ASCII,,N/A,Carrier/Substrate instance SV,49
EQP_SV_100138,100138,ASCII,,N/A,Carrier/Substrate instance SV,50
EQP_SV_100139,100139,ASCII,,N/A,Carrier/Substrate instance SV,51
EQP_SV_100140,100140,ASCII,,N/A,Carrier/Substrate instance SV,52
EQP_SV_100141,100141,ASCII,,N/A,Carrier/Substrate instance SV,53
EQP_SV_100142,100142,ASCII,,N/A,Carrier/Substrate instance SV,54
EQP_SV_100143,100143,ASCII,,N/A,Carrier/Substrate instance SV,55
EQP_SV_100144,100144,ASCII,,N/A,Carrier/Substrate instance SV,56
EQP_SV_100145,100145,ASCII,,N/A,Carrier/Substrate instance SV,57
EQP_SV_100146,100146,ASCII,,N/A,Carrier/Substrate instance SV,58
EQP_SV_100147,100147,ASCII,,N/A,Carrier/Substrate instance SV,59
EQP_SV_100148,100148,ASCII,,N/A,Carrier/Substrate instance SV,60
EQP_SV_100149,100149,ASCII,,N/A,Carrier/Substrate instance SV,61
EQP_SV_100150,100150,ASCII,,N/A,Carrier/Substrate instance SV,62
